Article,Morph,Jewish,Person,Number,Tense,Mood,Voice,Gender,Case,Degree,Strength,Inflection,-2form,-2lemma,-2morph,-2person,-2number,-2tense,-2mood,-2voice,-2gender,-2case,-2degree,-2strength,-2inflection,-1form,-1lemma,-1morph,-1person,-1number,-1tense,-1mood,-1voice,-1gender,-1case,-1degree,-1strength,-1inflection,1form,1lemma,1morph,1person,1number,1tense,1mood,1voice,1gender,1case,1degree,1strength,1inflection,2form,2lemma,2morph,2person,2number,2tense,2mood,2voice,2gender,2case,2degree,2strength,2inflection,3form,3lemma,3morph,3person,3number,3tense,3mood,3voice,3gender,3case,3degree,3strength,3inflection,Answer
του,-s---ng--i,no,-,s,-,-,-,n,g,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ετι,ετι,---------n,-,-,-,-,-,-,-,-,-,n,παθεος,παθος,-s---ng--i,-,s,-,-,-,n,g,-,-,i,δεινοτερον,δεινος,-s---nac-i,-,s,-,-,-,n,a,c,-,i,τι,τις,-s---na--i,-,s,-,-,-,n,a,-,-,i,2
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,τη,ο,-s---fd--i,-,s,-,-,-,f,d,-,-,i,εορτη,εορτη,-s---fd--i,-,s,-,-,-,f,d,-,-,i,πασχα,πασχα,---------n,-,-,-,-,-,-,-,-,-,n,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
ταις,-p---fd--i,yes,-,p,-,-,-,f,d,-,-,i,εθνη,εθνος,-p---na--i,-,p,-,-,-,n,a,-,-,i,πορευεσθαι,πορευομαι,--pnm----i,-,-,p,n,m,-,-,-,-,i,οδοις,οδος,-p---fd--i,-,p,-,-,-,f,d,-,-,i,αυτων,αυτος,3p---mg--i,3,p,-,-,-,m,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
τω,-s---nd--i,yes,-,s,-,-,-,n,d,-,-,i,ημων,ημεις,1p---mg--i,1,p,-,-,-,m,g,-,-,i,συνμορφον,συμμορφος,-s---nap-i,-,s,-,-,-,n,a,p,-,i,σωματι,σωμα,-s---nd--i,-,s,-,-,-,n,d,-,-,i,της,ο,-s---fg--i,-,s,-,-,-,f,g,-,-,i,δοξης,δοξα,-s---fg--i,-,s,-,-,-,f,g,-,-,i,2
την,-s---fa--i,no,-,s,-,-,-,f,a,-,-,i,διεβη,διαβαινω,3saia----i,3,s,a,i,a,-,-,-,-,i,ες,εις,---------n,-,-,-,-,-,-,-,-,-,n,ευρωπην,ευρωπη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,εθηειτο,θεαομαι,3siim----i,3,s,i,i,m,-,-,-,-,i,τον,ο,-s---ma--i,-,s,-,-,-,m,a,-,-,i,2
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,φυσει,φυσις,-s---fd--i,-,s,-,-,-,f,d,-,-,i,τα,ο,-p---na--i,-,p,-,-,-,n,a,-,-,i,νομου,νομος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ποιωσιν,ποιεω,3ppsa----i,3,p,p,s,a,-,-,-,-,i,ουτοι,ουτος,-p---mn--i,-,p,-,-,-,m,n,-,-,i,2
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,αμνος,αμνος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
του,-s---mg--i,no,-,s,-,-,-,m,g,-,-,i,εξ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,εμβολης,εμβολη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ποταμου,ποταμος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,τη,τη,---------n,-,-,-,-,-,-,-,-,-,n,ες,εις,---------n,-,-,-,-,-,-,-,-,-,n,2
τη,-s---fd--i,yes,-,s,-,-,-,f,d,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,ταπεινος,ταπεινος,-s---mnp-i,-,s,-,-,-,m,n,p,-,i,καρδια,καρδια,-s---fd--i,-,s,-,-,-,f,d,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,ευρησετε,ευρισκω,2pfia----i,2,p,f,i,a,-,-,-,-,i,2
τοισι,-p---md--i,no,-,p,-,-,-,m,d,-,-,i,ταυτα,ουτος,-p---na--i,-,p,-,-,-,n,a,-,-,i,εποιεον,ποιεω,3piia----i,3,p,i,i,a,-,-,-,-,i,προσεκειτο,προσκειμαι,3siip----i,3,s,i,i,p,-,-,-,-,i,αυτη,ουτος,-s---fn--i,-,s,-,-,-,f,n,-,-,i,η,ο,-s---fn--i,-,s,-,-,-,f,n,-,-,i,2
τον,-s---ma--i,no,-,s,-,-,-,m,a,-,-,i,εσομαι,ειμι,1sfim----i,1,s,f,i,m,-,-,-,-,i,προς,προς,---------n,-,-,-,-,-,-,-,-,-,n,βαρβαρον,βαρβαρος,-s---map-i,-,s,-,-,-,m,a,p,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,προσενεγκε,προσφερω,2sama----i,2,s,a,m,a,-,-,-,-,i,περι,περι,---------n,-,-,-,-,-,-,-,-,-,n,καθαρισμου,καθαρισμος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,σου,συ,2s---pg--i,2,s,-,-,-,p,g,-,-,i,καθως,καθως,---------n,-,-,-,-,-,-,-,-,-,n,2
τω,-s---od--i,yes,-,s,-,-,-,o,d,-,-,i,ουν,ουν,---------n,-,-,-,-,-,-,-,-,-,n,συνηγερθητε,συνεγειρω,2paip----i,2,p,a,i,p,-,-,-,-,i,χριστω,χριστος,-s---md--i,-,s,-,-,-,m,d,-,-,i,τα,ο,-p---na--i,-,p,-,-,-,n,a,-,-,i,ανω,ανω,---------n,-,-,-,-,-,-,-,-,-,n,2
τους,-p---ma--i,no,-,p,-,-,-,m,a,-,-,i,ην,ειμι,3siia----i,3,s,i,i,a,-,-,-,-,i,κατιδεσθαι,καθοραω,--anm----i,-,-,a,n,m,-,-,-,-,i,γαρ,γαρ,---------n,-,-,-,-,-,-,-,-,-,n,εσω,εσω,---------n,-,-,-,-,-,-,-,-,-,n,τεταγμενους,τασσω,-prppma--i,-,p,r,p,p,m,a,-,-,i,4
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,αδελφος,αδελφος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,αυτου,αυτος,3s---mg--i,3,s,-,-,-,m,g,-,-,i,γυναικα,γυνη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,αυτου,αυτος,3s---mg--i,3,s,-,-,-,m,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,2
των,-p---mg--i,no,-,p,-,-,-,m,g,-,-,i,στασιωτησι,στασιωτης,-p---md--i,-,p,-,-,-,m,d,-,-,i,απεκληισε,αποκλειω,3saia----i,3,s,a,i,a,-,-,-,-,i,πυλεων,πυλη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
το,-s---nn--i,yes,-,s,-,-,-,n,n,-,-,i,τουτο,ουτος,-s---nn--i,-,s,-,-,-,n,n,-,-,i,εστιν,ειμι,3spia----i,3,s,p,i,a,-,-,-,-,i,εργον,εργον,-s---nn--i,-,s,-,-,-,n,n,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
το,-s---na--i,no,-,s,-,-,-,n,a,-,-,i,οκως,οπως,---------n,-,-,-,-,-,-,-,-,-,n,αν,αν,---------n,-,-,-,-,-,-,-,-,-,n,στρατοπεδον,στρατοπεδον,-s---na--i,-,s,-,-,-,n,a,-,-,i,ιδρυμενον,ιδρυω,-srppna--i,-,s,r,p,p,n,a,-,-,i,κατα,κατα,---------n,-,-,-,-,-,-,-,-,-,n,2
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,ων,ειμι,-sppamn--i,-,s,p,p,a,m,n,-,-,i,εκ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,τα,ο,-p---na--i,-,p,-,-,-,n,a,-,-,i,ρηματα,ρημα,-p---na--i,-,p,-,-,-,n,a,-,-,i,2
του,-s---og--i,no,-,s,-,-,-,o,g,-,-,i,τοσουτον,τοσουτος,-s---nn--i,-,s,-,-,-,n,n,-,-,i,εστι,ειμι,3spia----i,3,s,p,i,a,-,-,-,-,i,αστεος,αστυ,-s---ng--i,-,s,-,-,-,n,g,-,-,i,του,ο,-s---og--i,-,s,-,-,-,o,g,-,-,i,βαβυλωνιου,βαβυλωνιος,-s---ogp-i,-,s,-,-,-,o,g,p,-,i,2
τω,-s---nd--i,no,-,s,-,-,-,n,d,-,-,i,πελεκει,πελεκυς,-s---fd--i,-,s,-,-,-,f,d,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,πρυτανηιω,πρυτανειον,-s---nd--i,-,s,-,-,-,n,d,-,-,i,προς,προς,---------n,-,-,-,-,-,-,-,-,-,n,ανδρος,ανηρ,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
της,-s---fg--i,no,-,s,-,-,-,f,g,-,-,i,στρατον,στρατος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,εκ,εκ,---------n,-,-,-,-,-,-,-,-,-,n,ασιης,ασια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,στρατηλατησειν,στρατηλατεω,--fna----i,-,-,f,n,a,-,-,-,-,i,επι,επι,---------n,-,-,-,-,-,-,-,-,-,n,2
των,-p---qg--i,no,-,p,-,-,-,q,g,-,-,i,ευρυβιαδη,ευρυβιαδης,-s---md--i,-,s,-,-,-,m,d,-,-,i,τουτων,ουτος,-p---ng--i,-,p,-,-,-,n,g,-,-,i,χρηματων,χρημα,-p---ng--i,-,p,-,-,-,n,g,-,-,i,μεταδιδοι,μεταδιδωμι,3spia----i,3,s,p,i,a,-,-,-,-,i,πεντε,πεντε,---------n,-,-,-,-,-,-,-,-,-,n,2
η,-s---fn--i,yes,-,s,-,-,-,f,n,-,-,i,κατηγοροι,κατηγορος,-p---mn--i,-,p,-,-,-,m,n,-,-,i,σου,συ,2s---pg--i,2,s,-,-,-,p,g,-,-,i,γυνη,γυνη,-s---fn--i,-,s,-,-,-,f,n,-,-,i,που,που,---------n,-,-,-,-,-,-,-,-,-,n,εισιν,ειμι,3ppia----i,3,p,p,i,a,-,-,-,-,i,2
των,-p---ng--i,yes,-,p,-,-,-,n,g,-,-,i,ανα,ανα,---------n,-,-,-,-,-,-,-,-,-,n,μεσον,μεσος,-s---nap-i,-,s,-,-,-,n,a,p,-,i,οριων,οριον,-p---ng--i,-,p,-,-,-,n,g,-,-,i,δεκαπολεως,δεκαπολις,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
το,-s---nn--i,yes,-,s,-,-,-,n,n,-,-,i,τοις,ο,-p---md--i,-,p,-,-,-,m,d,-,-,i,ψευδεσιν,ψευδης,-p---md--i,-,p,-,-,-,m,d,-,-,i,μερος,μερος,-s---nn--i,-,s,-,-,-,n,n,-,-,i,αυτων,αυτος,3p---mg--i,3,p,-,-,-,m,g,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,2
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,διοτι,διοτι,---------n,-,-,-,-,-,-,-,-,-,n,εδιωξα,διωκω,1saia----i,1,s,a,i,a,-,-,-,-,i,εκκλησιαν,εκκλησια,-s---fa--i,-,s,-,-,-,f,a,-,-,i,του,ο,-s---og--i,-,s,-,-,-,o,g,-,-,i,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ποιων,ποιεω,-sppamn--i,-,s,p,p,a,m,n,-,-,i,αμαρτιαν,αμαρτια,-s---fa--i,-,s,-,-,-,f,a,-,-,i,δουλος,δουλος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,εστιν,ειμι,3spia----i,3,s,p,i,a,-,-,-,-,i,2
τον,-s---ma--i,yes,-,s,-,-,-,m,a,-,-,i,τω,ο,-s---od--i,-,s,-,-,-,o,d,-,-,i,πραγματι,πραγμα,-s---nd--i,-,s,-,-,-,n,d,-,-,i,αδελφον,αδελφος,-s---ma--i,-,s,-,-,-,m,a,-,-,i,αυτου,αυτος,3s---mg--i,3,s,-,-,-,m,g,-,-,i,διοτι,διοτι,---------n,-,-,-,-,-,-,-,-,-,n,2
του,-s---og--i,no,-,s,-,-,-,o,g,-,-,i,ησαν,ειμι,3piia----i,3,p,i,i,a,-,-,-,-,i,προθυμοτατοι,προθυμος,-p---mns-i,-,p,-,-,-,m,n,s,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,ναυτικου,ναυτικος,-s---mgp-i,-,s,-,-,-,m,g,p,-,i,φοινικες,φοινιξ,-p---mn--i,-,p,-,-,-,m,n,-,-,i,3
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,την,ο,-s---fa--i,-,s,-,-,-,f,a,-,-,i,σφραγιδα,σφραγις,-s---fa--i,-,s,-,-,-,f,a,-,-,i,τεταρτην,τεταρτος,-s---fa--i,-,s,-,-,-,f,a,-,-,i,ηκουσα,ακουω,1saia----i,1,s,a,i,a,-,-,-,-,i,φωνην,φωνη,-s---fa--i,-,s,-,-,-,f,a,-,-,i,2
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,οικειοι,οικειος,-p---mnp-i,-,p,-,-,-,m,n,p,-,i,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,εποικοδομηθεντες,εποικοδομεω,-pappmn--i,-,p,a,p,p,m,n,-,-,i,επι,επι,---------n,-,-,-,-,-,-,-,-,-,n,2
τω,-s---od--i,yes,-,s,-,-,-,o,d,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,πορευομενη,πορευομαι,-sppmfn--i,-,s,p,p,m,f,n,-,-,i,φοβω,φοβος,-s---md--i,-,s,-,-,-,m,d,-,-,i,του,ο,-s---og--i,-,s,-,-,-,o,g,-,-,i,κυριου,κυριος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
την,-s---fa--i,no,-,s,-,-,-,f,a,-,-,i,αναιδεστερον,αναιδης,-s---nac-i,-,s,-,-,-,n,a,c,-,i,ετραπευ,τρεπω,2saim----i,2,s,a,i,m,-,-,-,-,i,μεν,μεν,---------n,-,-,-,-,-,-,-,-,-,n,αξιην,αξια,-s---fa--i,-,s,-,-,-,f,a,-,-,i,ου,ου,---------n,-,-,-,-,-,-,-,-,-,n,3
των,-p---mg--i,yes,-,p,-,-,-,m,g,-,-,i,απο,απο,---------n,-,-,-,-,-,-,-,-,-,n,παντων,πας,-p---mg--i,-,p,-,-,-,m,g,-,-,i,εργων,εργον,-p---ng--i,-,p,-,-,-,n,g,-,-,i,αυτου,αυτος,3s---mg--i,3,s,-,-,-,m,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
το,-s---na--i,yes,-,s,-,-,-,n,a,-,-,i,προσφερομεναι,προσφερω,-ppppfn--i,-,p,p,p,p,f,n,-,-,i,δια,δια,---------n,-,-,-,-,-,-,-,-,-,n,μηδεμιαν,μηδεις,-s---fa--i,-,s,-,-,-,f,a,-,-,i,εχειν,εχω,--pna----i,-,-,p,n,a,-,-,-,-,i,ετι,ετι,---------n,-,-,-,-,-,-,-,-,-,n,3
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,επιστας,εφιστημι,-sapamn--i,-,s,a,p,a,m,n,-,-,i,αυτω,αυτος,3s---md--i,3,s,-,-,-,m,d,-,-,i,κυριος,κυριος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ειπεν,λεγω,3saia----i,3,s,a,i,a,-,-,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
οι,-p---mn--i,yes,-,p,-,-,-,m,n,-,-,i,τε,τε,---------n,-,-,-,-,-,-,-,-,-,n,και,και,---------n,-,-,-,-,-,-,-,-,-,n,εντοπιοι,εντοπιος,-p---mnp-i,-,p,-,-,-,m,n,p,-,i,του,ο,-s---ng--i,-,s,-,-,-,n,g,-,-,i,μη,μη,---------n,-,-,-,-,-,-,-,-,-,n,2
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,την,ο,-s---fa--i,-,s,-,-,-,f,a,-,-,i,πιστιν,πιστις,-s---fa--i,-,s,-,-,-,f,a,-,-,i,θεου,θεος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,καταργησει,καταργεω,3sfia----i,3,s,f,i,a,-,-,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,εισηλθεν,εισερχομαι,3saia----i,3,s,a,i,a,-,-,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,οικιαν,οικια,-s---fa--i,-,s,-,-,-,f,a,-,-,i,σιμωνος,σιμων,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
την,-s---fa--i,no,-,s,-,-,-,f,a,-,-,i,ανασχισας,ανασχιζω,-sapamn--i,-,s,a,p,a,m,n,-,-,i,τουτου,ουτος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,γαστερα,γαστηρ,-s---fa--i,-,s,-,-,-,f,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,ουδεν,ουδεις,-s---na--i,-,s,-,-,-,n,a,-,-,i,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,σημειον,σημειον,-s---na--i,-,s,-,-,-,n,a,-,-,i,λεγων,λεγω,-sppamn--i,-,s,p,p,a,m,n,-,-,i,δε,δε,---------n,-,-,-,-,-,-,-,-,-,n,παραδιδους,παραδιδωμι,-sppamn--i,-,s,p,p,a,m,n,-,-,i,αυτον,αυτος,3s---ma--i,3,s,-,-,-,m,a,-,-,i,3
οι,-p---mn--i,yes,-,p,-,-,-,m,n,-,-,i,επεστησαν,εφιστημι,3paia----i,3,p,a,i,a,-,-,-,-,i,αυτοις,αυτος,3p---md--i,3,p,-,-,-,m,d,-,-,i,ιερεις,ιερευς,-p---mn--i,-,p,-,-,-,m,n,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,πυρος,πυρ,-s---ng--i,-,s,-,-,-,n,g,-,-,i,αποστελει,αποστελλω,3sfia----i,3,s,f,i,a,-,-,-,-,i,υιος,υιος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ανθρωπου,ανθρωπος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
του,-s---mg--i,yes,-,s,-,-,-,m,g,-,-,i,του,ο,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ναου,ναος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,τω,ο,-s---md--i,-,s,-,-,-,m,d,-,-,i,ουρανω,ουρανος,-s---md--i,-,s,-,-,-,m,d,-,-,i,2
τω,-s---od--i,yes,-,s,-,-,-,o,d,-,-,i,οπλα,οπλον,-p---na--i,-,p,-,-,-,n,a,-,-,i,δικαιοσυνης,δικαιοσυνη,-s---fg--i,-,s,-,-,-,f,g,-,-,i,θεω,θεος,-s---md--i,-,s,-,-,-,m,d,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
τα,-p---na--i,no,-,p,-,-,-,n,a,-,-,i,ες,εις,---------n,-,-,-,-,-,-,-,-,-,n,οψιν,οψις,-s---fa--i,-,s,-,-,-,f,a,-,-,i,ανδραποδα,ανδραποδον,-p---na--i,-,p,-,-,-,n,a,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,λεγει,λεγω,3spia----i,3,s,p,i,a,-,-,-,-,i,αυτοις,αυτος,3p---md--i,3,p,-,-,-,m,d,-,-,i,ιησους,ιησους,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
του,-s---og--i,yes,-,s,-,-,-,o,g,-,-,i,νικος,νικος,-s---na--i,-,s,-,-,-,n,a,-,-,i,δια,δια,---------n,-,-,-,-,-,-,-,-,-,n,κυριου,κυριος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ημων,ημεις,1p---mg--i,1,p,-,-,-,m,g,-,-,i,ιησου,ιησους,-s---mg--i,-,s,-,-,-,m,g,-,-,i,2
ο,-s---mn--i,yes,-,s,-,-,-,m,n,-,-,i,τοτε,τοτε,---------n,-,-,-,-,-,-,-,-,-,n,γενησεται,γιγνομαι,3sfim----i,3,s,f,i,m,-,-,-,-,i,λογος,λογος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,ο,ο,-s---mn--i,-,s,-,-,-,m,n,-,-,i,γεγραμμενος,γραφω,-srppmn--i,-,s,r,p,p,m,n,-,-,i,2
των,-p---ng--i,yes,-,p,-,-,-,n,g,-,-,i,αι,ο,-p---fn--i,-,p,-,-,-,f,n,-,-,i,πολεις,πολις,-p---fn--i,-,p,-,-,-,f,n,-,-,i,εθνων,εθνος,-p---ng--i,-,p,-,-,-,n,g,-,-,i,επεσαν,πιπτω,3paia----i,3,p,a,i,a,-,-,-,-,i,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,ellipsed,2
την,-s---fa--i,yes,-,s,-,-,-,f,a,-,-,i,αυτον,αυτος,3s---ma--i,3,s,-,-,-,m,a,-,-,i,εις,εις,---------n,-,-,-,-,-,-,-,-,-,n,ξενιαν,ξενια,-s---fa--i,-,s,-,-,-,f,a,-,-,i,πλειονες,πολυς,-p---mnc-i,-,p,-,-,-,m,n,c,-,i,οις,ος,-p---md--i,-,p,-,-,-,m,d,-,-,i,2
τη,-s---fd--i,yes,-,s,-,-,-,f,d,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,τιμοθεος,τιμοθεος,-s---mn--i,-,s,-,-,-,m,n,-,-,i,εκκλησια,εκκλησια,-s---fd--i,-,s,-,-,-,f,d,-,-,i,θεσσαλονικεων,θεσσαλονικευς,-p---mg--i,-,p,-,-,-,m,g,-,-,i,εν,εν,---------n,-,-,-,-,-,-,-,-,-,n,2
το,-s---na--i,no,-,s,-,-,-,n,a,-,-,i,ουτω,ουτως,---------n,-,-,-,-,-,-,-,-,-,n,δη,δη,---------n,-,-,-,-,-,-,-,-,-,n,δευτερον,δευτερος,-s---na--i,-,s,-,-,-,n,a,-,-,i,ιωνιη,ιωνια,-s---fn--i,-,s,-,-,-,f,n,-,-,i,εδεδουλωτο,δουλοω,3slip----i,3,s,l,i,p,-,-,-,-,i,2
τας,-p---fa--i,no,-,p,-,-,-,f,a,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,ζωνη,ζωνη,-s---fn--i,-,s,-,-,-,f,n,-,-,i,μεν,μεν,---------n,-,-,-,-,-,-,-,-,-,n,δη,δη,---------n,-,-,-,-,-,-,-,-,-,n,νεας,ναυς,-p---fa--i,-,p,-,-,-,f,a,-,-,i,4
οι,-p---mn--i,no,-,p,-,-,-,m,n,-,-,i,κατα,καθα,---------n,-,-,-,-,-,-,-,-,-,n,περ,περ,---------n,-,-,-,-,-,-,-,-,-,n,αλλοι,αλλος,-p---mnp-i,-,p,-,-,-,m,n,p,-,i,της,ο,-s---fg--i,-,s,-,-,-,f,g,-,-,i,ιωνιης,ιωνια,-s---fg--i,-,s,-,-,-,f,g,-,-,i,5
του,-s---mg--i,no,-,s,-,-,-,m,g,-,-,i,δη,δη,---------n,-,-,-,-,-,-,-,-,-,n,τουτου,ουτος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,βαττου,βαττος,-s---mg--i,-,s,-,-,-,m,g,-,-,i,ουτω,ουτως,---------n,-,-,-,-,-,-,-,-,-,n,διετελεε,διατελεω,3siia----i,3,s,i,i,a,-,-,-,-,i,2
αι,-p---fn--i,yes,-,p,-,-,-,f,n,-,-,i,κραζει,κραζω,3spia----i,3,s,p,i,a,-,-,-,-,i,και,και,---------n,-,-,-,-,-,-,-,-,-,n,βοαι,βοη,-p---fn--i,-,p,-,-,-,f,n,-,-,i,των,ο,-p---mg--i,-,p,-,-,-,m,g,-,-,i,θερισαντων,θεριζω,-papamg--i,-,p,a,p,a,m,g,-,-,i,2
